entry_time,exit_time,entry_price,exit_price,fu,pnl,pnlcomm
2017-01-04 03:01:00,2017-01-04 15:12:00,125.30621155351632,126.35626360564076,I,14934.07,14129.13
2017-01-04 18:31:00,2017-01-05 13:09:00,125.77290135446052,127.8730054587094,I,-33601.67,-34413.33
2017-01-05 14:01:00,2017-01-05 15:03:00,126.939625856821,128.45636770988963,I,-25807.95,-26615.37
2017-01-09 01:41:00,2017-01-09 13:44:00,126.12291870516869,127.6396605582373,I,24116.2,23309.23
2017-01-11 02:31:00,2017-01-11 18:23:00,139.1902331316061,140.5903025344387,I,-20161.0,-20966.77
2017-01-11 18:31:00,2017-01-12 02:43:00,138.84021578089798,141.40700968609104,I,-37218.51,-38031.23
2017-01-12 15:21:00,2017-01-13 01:09:00,141.40700968609104,142.57373418845154,I,-18224.24,-19031.07
2017-01-17 13:11:00,2017-01-17 14:02:00,153.0742547096959,149.6907536528505,I,42795.45,42002.52
2017-01-17 18:31:00,2017-01-18 03:04:00,149.34073630214235,153.42427206040406,I,54719.38,53907.97
2017-01-18 13:11:00,2017-01-20 19:00:00,149.22406385190632,142.80707908892364,I,86629.29,85840.81
2017-01-23 02:51:00,2017-01-24 03:03:00,142.80707908892364,144.67383829270042,I,27966.39,27155.36
2017-01-24 18:21:00,2017-01-25 02:47:00,149.80742610308656,147.35730464812954,I,34395.04,33598.32
2017-01-25 03:11:00,2017-01-26 17:51:00,148.99071895143422,151.55751285662728,I,36226.8,35415.0
2017-02-03 13:11:00,2017-02-03 14:48:00,149.10739140167027,144.67383829270042,I,56702.81,55910.23
2017-02-06 02:21:00,2017-02-06 02:38:00,143.39044134010388,141.290337235855,I,-29401.46,-30198.56
2017-02-07 01:11:00,2017-02-07 01:23:00,141.64035458656315,140.00694028325847,I,-23194.48,-23994.36
2017-02-07 02:41:00,2017-02-07 02:45:00,141.17366478561894,141.64035458656315,I,6627.0,5823.8
2017-02-08 03:11:00,2017-02-08 13:12:00,145.95723524529694,148.52402915049,I,-35421.76,-36234.52
2017-02-10 01:31:00,2017-02-10 02:00:00,150.27411590403074,153.54094451064012,I,43775.5,42961.28
2017-02-10 13:21:00,2017-02-10 17:36:00,152.84090980922383,154.0076343115843,I,-13755.68,-14559.93
2017-02-14 14:51:00,2017-02-14 18:58:00,164.2748099323566,166.37491403660547,I,25621.27,24814.48
2017-02-15 18:01:00,2017-02-15 18:17:00,164.7414997333008,163.10808542999612,I,19927.65,19127.7
2017-02-16 01:51:00,2017-02-16 02:33:00,162.99141297976007,160.42461907456698,I,-33006.64,-33802.53
2017-02-16 18:21:00,2017-02-20 18:32:00,162.6413956290519,164.85817218353685,I,-27266.35,-28072.0
2017-02-22 13:31:00,2017-02-22 14:10:00,168.8250354915625,170.4584497948672,I,18049.23,17241.46
2017-02-24 17:41:00,2017-02-24 18:42:00,159.4912394726786,161.94136092763563,I,29401.46,28591.15
2017-02-27 02:31:00,2017-02-27 03:08:00,161.47467112669142,164.5081548328287,I,-36168.46,-36977.19
2017-02-28 03:21:00,2017-02-28 13:22:00,166.14156913613337,167.1916211882578,I,11293.89,10487.51
2017-02-28 17:31:00,2017-02-28 18:48:00,165.9082242356613,162.29137827834376,I,-43763.84,-44558.08
2017-03-01 18:11:00,2017-03-02 13:17:00,161.94136092763563,165.20818953424498,I,-41955.41,-42766.45
2017-03-02 14:41:00,2017-03-02 15:19:00,164.15813748212054,162.6413956290519,I,18504.25,17706.86
2017-03-03 14:41:00,2017-03-06 01:01:00,157.6244802689018,160.54129152480303,I,42970.46,42161.73
2017-03-06 01:41:00,2017-03-06 02:41:00,159.14122212197046,161.1246537759833,I,-24991.24,-25798.31
2017-03-07 02:31:00,2017-03-07 18:02:00,155.4077037144169,152.95758225945988,I,-34616.72,-35412.3
2017-03-08 01:01:00,2017-03-08 01:28:00,154.35765166229243,156.10773841583318,I,25784.61,24978.01
2017-03-09 13:41:00,2017-03-10 02:17:00,151.90753020733544,153.19092715993196,I,16940.84,16135.38
2017-03-13 13:11:00,2017-03-13 18:50:00,154.12430676182035,158.44118742055417,I,56119.45,55306.78
2017-03-14 13:21:00,2017-03-15 02:51:00,159.84125682338674,162.6413956290519,I,-35281.75,-36093.82
